rel_path,mean_db,max_db,median_db,peak_to_mean
sample_c1_0.wav,-78.68,-44.23,-90.12,34.45
sample_c1_1.wav,-65.71,-32.18,-73.70,33.53
sample_c1_10.wav,-82.77,-35.22,-91.31,47.55
sample_c1_100.wav,-76.05,-47.32,-88.37,28.73
sample_c1_101.wav,-77.41,-36.53,-91.01,40.88
sample_c1_102.wav,-59.56,-34.75,-50.18,24.81
sample_c1_103.wav,-83.19,-30.56,-91.31,52.63
sample_c1_104.wav,-79.91,-33.26,-91.38,46.65
sample_c1_105.wav,-83.43,-27.20,-91.38,56.23
sample_c1_106.wav,-89.30,-54.27,-91.38,35.03
sample_c1_107.wav,-78.79,-27.54,-91.31,51.25
sample_c1_108.wav,-80.53,-33.67,-91.34,46.86
sample_c1_109.wav,-75.38,-41.29,-81.35,34.09
sample_c1_11.wav,-80.97,-30.75,-91.34,50.22
sample_c1_110.wav,-83.39,-36.53,-91.38,46.85
sample_c1_111.wav,-84.24,-30.29,-91.38,53.96
sample_c1_112.wav,-82.44,-31.68,-91.34,50.76
sample_c1_113.wav,-84.10,-35.92,-91.31,48.18
sample_c1_114.wav,-83.97,-39.94,-91.34,44.02
sample_c1_115.wav,-77.02,-28.25,-91.31,48.78
sample_c1_116.wav,-82.33,-37.16,-91.31,45.17
sample_c1_117.wav,-73.92,-33.42,-90.28,40.49
sample_c1_118.wav,-61.22,-39.82,-50.00,21.40
sample_c1_119.wav,-77.76,-41.28,-90.98,36.48
sample_c1_12.wav,-76.56,-26.45,-91.17,50.11
sample_c1_120.wav,-82.12,-30.23,-91.34,51.89
sample_c1_121.wav,-78.34,-31.67,-91.24,46.67
sample_c1_122.wav,-74.29,-37.80,-85.96,36.49
sample_c1_123.wav,-81.05,-31.22,-91.27,49.83
sample_c1_124.wav,-77.77,-35.64,-91.07,42.13
sample_c1_125.wav,-78.48,-33.06,-91.27,45.42
sample_c1_126.wav,-81.08,-37.02,-91.24,44.06
sample_c1_127.wav,-76.18,-36.61,-90.82,39.57
sample_c1_128.wav,-82.24,-39.99,-91.21,42.25
sample_c1_129.wav,-84.04,-26.35,-91.38,57.69
sample_c1_13.wav,-85.68,-25.91,-91.41,59.77
sample_c1_130.wav,-72.13,-33.13,-90.53,39.00
sample_c1_131.wav,-82.62,-39.28,-91.27,43.33
sample_c1_132.wav,-80.98,-28.02,-91.38,52.96
sample_c1_133.wav,-79.87,-29.59,-91.31,50.28
sample_c1_134.wav,-83.52,-27.66,-91.31,55.85
sample_c1_135.wav,-74.91,-41.35,-90.98,33.56
sample_c1_136.wav,-81.15,-31.65,-91.27,49.50
sample_c1_137.wav,-85.96,-34.13,-91.38,51.83
sample_c1_138.wav,-79.10,-34.12,-90.50,44.98
sample_c1_139.wav,-76.78,-38.02,-91.21,38.76
sample_c1_14.wav,-79.68,-34.80,-91.27,44.88
sample_c1_140.wav,-82.41,-25.18,-91.41,57.23
sample_c1_141.wav,-75.33,-47.34,-77.08,27.99
sample_c1_142.wav,-86.88,-32.19,-91.34,54.70
sample_c1_143.wav,-79.02,-48.59,-91.07,30.44
sample_c1_144.wav,-78.44,-25.88,-91.31,52.56
sample_c1_145.wav,-80.35,-36.40,-91.27,43.95
sample_c1_146.wav,-84.69,-32.51,-91.41,52.18
sample_c1_147.wav,-84.81,-32.20,-91.38,52.61
sample_c1_148.wav,-80.33,-34.02,-91.14,46.31
sample_c1_149.wav,-83.93,-32.85,-91.34,51.08
sample_c1_15.wav,-69.65,-37.44,-83.83,32.21
sample_c1_150.wav,-79.91,-32.99,-91.27,46.92
sample_c1_151.wav,-84.64,-23.92,-91.21,60.72
sample_c1_152.wav,-82.45,-41.00,-91.31,41.45
sample_c1_153.wav,-84.18,-37.13,-91.34,47.05
sample_c1_154.wav,-82.47,-33.81,-91.31,48.67
sample_c1_155.wav,-81.38,-37.02,-91.21,44.36
sample_c1_156.wav,-79.66,-24.85,-91.27,54.81
sample_c1_157.wav,-81.19,-32.11,-91.27,49.08
sample_c1_158.wav,-84.11,-32.01,-91.31,52.10
sample_c1_159.wav,-82.15,-32.41,-91.34,49.74
sample_c1_16.wav,-84.53,-32.87,-91.34,51.66
sample_c1_160.wav,-85.81,-32.95,-91.38,52.86
sample_c1_161.wav,-84.32,-31.82,-91.38,52.49
sample_c1_162.wav,-84.41,-25.58,-91.38,58.83
sample_c1_163.wav,-79.05,-27.77,-91.24,51.28
sample_c1_164.wav,-75.79,-32.33,-91.11,43.46
sample_c1_165.wav,-82.24,-30.78,-91.38,51.45
sample_c1_166.wav,-78.96,-34.38,-91.17,44.58
sample_c1_167.wav,-75.48,-32.52,-91.04,42.96
sample_c1_168.wav,-81.43,-28.38,-91.31,53.06
sample_c1_169.wav,-83.51,-45.00,-91.27,38.52
sample_c1_17.wav,-83.61,-26.21,-91.24,57.40
sample_c1_170.wav,-81.31,-25.43,-91.31,55.87
sample_c1_171.wav,-80.52,-28.95,-91.31,51.56
sample_c1_172.wav,-76.86,-35.45,-91.07,41.41
sample_c1_173.wav,-81.20,-27.39,-91.38,53.81
sample_c1_174.wav,-79.68,-33.94,-91.11,45.73
sample_c1_175.wav,-80.48,-43.14,-90.70,37.34
sample_c1_176.wav,-64.89,-40.41,-54.12,24.48
sample_c1_177.wav,-81.33,-31.18,-91.38,50.16
