rel_path,mean_db,max_db,median_db,peak_to_mean
sample_c1_0.wav,-40.15,-5.72,-51.57,34.43
sample_c1_1.wav,-41.96,-8.60,-50.10,33.37
sample_c1_10.wav,-53.94,-6.51,-62.46,47.43
sample_c1_100.wav,-37.70,-8.97,-50.01,28.72
sample_c1_101.wav,-48.91,-8.10,-62.47,40.81
sample_c1_102.wav,-37.64,-12.85,-28.28,24.79
sample_c1_103.wav,-60.99,-8.39,-69.10,52.59
sample_c1_104.wav,-54.88,-8.30,-66.32,46.58
sample_c1_105.wav,-65.80,-10.24,-73.62,55.56
sample_c1_106.wav,-44.82,-9.80,-46.89,35.01
sample_c1_107.wav,-60.90,-9.91,-73.32,51.00
sample_c1_108.wav,-54.56,-7.72,-65.36,46.83
sample_c1_109.wav,-39.44,-5.37,-45.42,34.06
sample_c1_11.wav,-58.26,-8.20,-68.59,50.06
sample_c1_110.wav,-52.79,-5.97,-60.77,46.83
sample_c1_111.wav,-64.34,-10.50,-71.46,53.84
sample_c1_112.wav,-60.24,-9.57,-69.12,50.67
sample_c1_113.wav,-56.55,-8.47,-63.76,48.08
sample_c1_114.wav,-52.41,-8.44,-59.78,43.97
sample_c1_115.wav,-57.40,-9.04,-71.54,48.36
sample_c1_116.wav,-51.49,-6.40,-60.47,45.10
sample_c1_117.wav,-46.91,-6.56,-63.17,40.35
sample_c1_118.wav,-37.54,-16.22,-26.39,21.32
sample_c1_119.wav,-43.03,-6.60,-56.23,36.43
sample_c1_12.wav,-58.58,-8.44,-73.17,50.14
sample_c1_120.wav,-60.76,-9.03,-69.95,51.73
sample_c1_121.wav,-55.53,-8.98,-68.36,46.54
sample_c1_122.wav,-45.20,-8.77,-56.97,36.43
sample_c1_123.wav,-59.03,-9.47,-69.15,49.56
sample_c1_124.wav,-47.72,-5.65,-60.99,42.08
sample_c1_125.wav,-52.67,-7.48,-65.37,45.18
sample_c1_126.wav,-53.50,-9.44,-63.68,44.07
sample_c1_127.wav,-49.38,-9.82,-64.01,39.56
sample_c1_128.wav,-51.90,-9.66,-60.87,42.24
sample_c1_129.wav,-66.32,-9.03,-73.59,57.29
sample_c1_13.wav,-66.72,-7.23,-72.41,59.49
sample_c1_130.wav,-46.15,-7.14,-64.55,39.01
sample_c1_131.wav,-49.25,-6.01,-57.88,43.24
sample_c1_132.wav,-60.47,-7.88,-70.75,52.59
sample_c1_133.wav,-58.57,-8.52,-69.90,50.05
sample_c1_134.wav,-63.80,-8.14,-71.55,55.65
sample_c1_135.wav,-40.60,-7.04,-56.68,33.57
sample_c1_136.wav,-57.15,-7.77,-67.25,49.38
sample_c1_137.wav,-59.24,-7.51,-64.62,51.73
sample_c1_138.wav,-52.70,-7.71,-64.11,44.99
sample_c1_139.wav,-47.28,-8.55,-61.71,38.73
sample_c1_14.wav,-52.61,-7.89,-64.15,44.72
sample_c1_140.wav,-64.78,-8.18,-73.63,56.60
sample_c1_141.wav,-37.62,-9.64,-39.38,27.98
sample_c1_142.wav,-61.94,-7.42,-66.37,54.52
sample_c1_143.wav,-38.15,-7.73,-50.19,30.42
sample_c1_144.wav,-60.74,-8.48,-73.51,52.26
sample_c1_145.wav,-51.79,-7.92,-62.69,43.87
sample_c1_146.wav,-58.83,-6.84,-65.49,51.98
sample_c1_147.wav,-59.41,-7.09,-65.93,52.32
sample_c1_148.wav,-56.46,-10.31,-67.18,46.15
sample_c1_149.wav,-59.41,-8.49,-66.78,50.92
sample_c1_15.wav,-40.26,-8.11,-54.45,32.15
sample_c1_150.wav,-54.09,-7.39,-65.37,46.70
sample_c1_151.wav,-68.19,-7.97,-74.66,60.22
sample_c1_152.wav,-47.82,-6.35,-56.68,41.47
sample_c1_153.wav,-55.59,-8.54,-62.74,47.05
sample_c1_154.wav,-57.46,-8.93,-66.25,48.52
sample_c1_155.wav,-52.79,-8.43,-62.61,44.36
sample_c1_156.wav,-61.70,-6.94,-73.27,54.77
sample_c1_157.wav,-56.75,-7.79,-66.81,48.96
sample_c1_158.wav,-59.68,-7.73,-66.85,51.94
sample_c1_159.wav,-57.73,-8.21,-66.86,49.52
sample_c1_16.wav,-59.13,-7.73,-65.89,51.40
sample_c1_160.wav,-62.50,-9.97,-68.01,52.52
sample_c1_161.wav,-58.44,-6.08,-65.48,52.36
sample_c1_162.wav,-66.76,-8.47,-73.58,58.29
sample_c1_163.wav,-61.09,-9.80,-73.24,51.29
sample_c1_164.wav,-50.42,-7.10,-65.66,43.32
sample_c1_165.wav,-58.80,-7.47,-67.89,51.33
sample_c1_166.wav,-52.16,-7.58,-64.35,44.57
sample_c1_167.wav,-50.10,-7.25,-65.61,42.85
sample_c1_168.wav,-60.88,-8.06,-70.67,52.82
sample_c1_169.wav,-47.18,-8.70,-54.92,38.47
sample_c1_17.wav,-66.82,-9.47,-74.47,57.36
sample_c1_170.wav,-62.59,-7.17,-72.48,55.42
sample_c1_171.wav,-59.83,-8.53,-70.54,51.31
sample_c1_172.wav,-49.06,-7.77,-63.24,41.29
sample_c1_173.wav,-62.44,-8.91,-72.54,53.53
sample_c1_174.wav,-52.98,-7.36,-64.39,45.62
sample_c1_175.wav,-45.44,-8.15,-55.64,37.28
sample_c1_176.wav,-37.55,-13.15,-26.85,24.40
sample_c1_177.wav,-57.31,-7.18,-67.35,50.13
sample_c1_178.wav,-54.95,-7.78,-64.97,47.17
sample_c1_179.wav,-67.19,-8.47,-73.61,58.73
sample_c1_18.wav,-51.05,-7.56,-55.62,43.49
sample_c1_180.wav,-52.85,-7.97,-65.38,44.89
sample_c1_181.wav,-56.97,-7.17,-68.51,49.80
sample_c1_182.wav,-47.94,-9.36,-64.10,38.58
sample_c1_183.wav,-57.67,-8.05,-69.09,49.62
sample_c1_184.wav,-52.04,-7.60,-62.77,44.44
sample_c1_185.wav,-58.38,-9.09,-69.72,49.29
sample_c1_186.wav,-46.45,-5.09,-57.84,41.36
sample_c1_187.wav,-39.22,-6.38,-58.07,32.84
sample_c1_188.wav,-63.04,-9.04,-69.20,54.00
sample_c1_189.wav,-60.77,-8.54,-70.71,52.23
sample_c1_19.wav,-48.36,-7.40,-55.45,40.96
sample_c1_190.wav,-59.04,-7.99,-69.05,51.06
sample_c1_191.wav,-38.61,-5.41,-47.79,33.21
sample_c1_192.wav,-52.12,-6.16,-62.41,45.96
sample_c1_193.wav,-40.18,-7.13,-56.22,33.05
sample_c1_194.wav,-55.31,-8.62,-62.75,46.70
sample_c1_195.wav,-61.09,-9.57,-69.85,51.52
sample_c1_196.wav,-58.46,-7.74,-68.49,50.72
sample_c1_197.wav,-37.74,-8.52,-46.83,29.22
sample_c1_198.wav,-68.11,-8.26,-74.71,59.85
sample_c1_199.wav,-55.05,-8.60,-67.29,46.45
