rel_path,mean_db,max_db,median_db,peak_to_mean
sample_c0_0.wav,-81.38,-29.53,-91.34,51.85
sample_c0_1.wav,-77.96,-28.06,-91.31,49.91
sample_c0_10.wav,-84.84,-35.66,-91.21,49.18
sample_c0_100.wav,-83.56,-34.38,-91.34,49.18
sample_c0_101.wav,-82.92,-37.66,-91.34,45.27
sample_c0_102.wav,-84.55,-37.70,-91.21,46.84
sample_c0_103.wav,-82.72,-29.25,-91.34,53.46
sample_c0_104.wav,-77.26,-29.05,-91.21,48.22
sample_c0_105.wav,-85.29,-25.97,-91.24,59.32
sample_c0_106.wav,-78.67,-30.75,-91.27,47.92
sample_c0_107.wav,-81.80,-31.75,-91.34,50.04
sample_c0_108.wav,-81.24,-30.07,-91.17,51.17
sample_c0_109.wav,-78.53,-29.67,-91.11,48.86
sample_c0_11.wav,-78.77,-39.89,-90.82,38.88
sample_c0_110.wav,-68.00,-46.33,-62.83,21.67
sample_c0_111.wav,-85.10,-40.11,-91.04,44.99
sample_c0_112.wav,-79.67,-32.38,-91.31,47.29
sample_c0_113.wav,-79.71,-36.74,-91.07,42.97
sample_c0_114.wav,-81.44,-43.49,-90.76,37.96
sample_c0_115.wav,-81.74,-32.70,-91.31,49.03
sample_c0_116.wav,-78.81,-32.45,-91.24,46.35
sample_c0_117.wav,-83.82,-38.32,-90.95,45.50
sample_c0_118.wav,-84.55,-27.99,-91.24,56.56
sample_c0_119.wav,-82.59,-34.99,-91.27,47.60
sample_c0_12.wav,-80.97,-25.81,-91.34,55.16
sample_c0_120.wav,-79.26,-29.46,-91.31,49.79
sample_c0_121.wav,-84.16,-35.64,-91.27,48.52
sample_c0_122.wav,-81.01,-34.21,-91.27,46.80
sample_c0_123.wav,-84.14,-31.15,-91.38,52.99
sample_c0_124.wav,-83.99,-38.82,-91.31,45.17
sample_c0_125.wav,-82.19,-32.02,-91.31,50.16
sample_c0_126.wav,-78.50,-39.76,-91.14,38.73
sample_c0_127.wav,-75.64,-37.29,-91.01,38.34
sample_c0_128.wav,-83.57,-30.07,-91.31,53.50
sample_c0_129.wav,-84.15,-29.90,-91.38,54.26
sample_c0_13.wav,-78.15,-36.18,-91.11,41.97
sample_c0_130.wav,-78.59,-40.12,-91.04,38.47
sample_c0_131.wav,-84.06,-30.59,-91.38,53.47
sample_c0_132.wav,-85.24,-40.80,-91.38,44.43
sample_c0_133.wav,-84.97,-34.54,-91.38,50.43
sample_c0_134.wav,-82.92,-25.93,-91.41,56.99
sample_c0_135.wav,-83.25,-38.37,-91.41,44.88
sample_c0_136.wav,-83.55,-31.40,-91.41,52.15
sample_c0_137.wav,-81.73,-31.70,-91.11,50.03
sample_c0_138.wav,-83.42,-29.06,-91.38,54.36
sample_c0_139.wav,-82.00,-32.75,-91.31,49.25
sample_c0_14.wav,-82.91,-34.54,-91.41,48.37
sample_c0_140.wav,-82.26,-28.36,-91.21,53.90
sample_c0_141.wav,-81.55,-35.14,-91.24,46.42
sample_c0_142.wav,-83.73,-28.62,-91.38,55.12
sample_c0_143.wav,-82.24,-31.01,-91.34,51.23
sample_c0_144.wav,-82.25,-22.98,-91.38,59.27
sample_c0_145.wav,-80.18,-28.63,-91.34,51.55
sample_c0_146.wav,-84.53,-25.77,-91.41,58.76
sample_c0_147.wav,-82.75,-33.66,-91.41,49.09
sample_c0_148.wav,-79.18,-28.80,-91.31,50.38
sample_c0_149.wav,-86.11,-41.96,-91.21,44.14
sample_c0_15.wav,-80.85,-45.51,-91.11,35.34
sample_c0_150.wav,-83.08,-35.28,-91.38,47.80
sample_c0_151.wav,-84.95,-33.72,-91.41,51.23
sample_c0_152.wav,-78.78,-31.62,-91.21,47.17
sample_c0_153.wav,-83.13,-35.68,-90.50,47.45
sample_c0_154.wav,-77.20,-41.57,-90.50,35.63
sample_c0_155.wav,-82.04,-27.01,-91.41,55.03
sample_c0_156.wav,-81.69,-32.34,-91.24,49.35
sample_c0_157.wav,-83.39,-27.34,-91.34,56.05
sample_c0_158.wav,-59.98,-27.77,-52.66,32.20
sample_c0_159.wav,-86.02,-33.21,-91.34,52.81
sample_c0_16.wav,-82.32,-31.80,-91.31,50.53
sample_c0_160.wav,-81.05,-29.18,-91.27,51.88
sample_c0_161.wav,-79.43,-29.23,-91.24,50.20
sample_c0_162.wav,-78.94,-27.85,-91.34,51.09
sample_c0_163.wav,-77.03,-38.46,-91.14,38.56
sample_c0_164.wav,-81.52,-41.13,-91.11,40.39
sample_c0_165.wav,-83.27,-31.37,-91.38,51.89
sample_c0_166.wav,-80.81,-37.36,-91.21,43.45
sample_c0_167.wav,-80.54,-29.84,-91.31,50.70
sample_c0_168.wav,-82.78,-37.95,-91.41,44.83
sample_c0_169.wav,-83.83,-37.98,-91.38,45.84
sample_c0_17.wav,-79.58,-31.19,-91.24,48.38
sample_c0_170.wav,-79.98,-30.40,-91.34,49.58
sample_c0_171.wav,-80.95,-34.35,-91.27,46.59
sample_c0_172.wav,-84.23,-35.33,-91.38,48.90
sample_c0_173.wav,-81.24,-29.52,-91.38,51.72
sample_c0_174.wav,-77.92,-28.18,-91.21,49.74
sample_c0_175.wav,-83.88,-32.02,-91.31,51.86
