rel_path,mean_db,max_db,median_db,peak_to_mean
sample_c0_0.wav,-61.73,-10.31,-71.58,51.42
sample_c0_1.wav,-58.32,-8.81,-71.54,49.51
sample_c0_10.wav,-56.32,-7.22,-62.67,49.10
sample_c0_100.wav,-57.18,-8.10,-64.93,49.08
sample_c0_101.wav,-52.85,-7.58,-61.26,45.27
sample_c0_102.wav,-54.21,-7.39,-60.86,46.83
sample_c0_103.wav,-62.20,-9.21,-70.73,52.99
sample_c0_104.wav,-55.83,-7.79,-69.68,48.04
sample_c0_105.wav,-68.82,-9.98,-74.69,58.84
sample_c0_106.wav,-54.66,-6.80,-67.22,47.86
sample_c0_107.wav,-58.97,-9.06,-68.47,49.91
sample_c0_108.wav,-60.74,-9.93,-70.58,50.82
sample_c0_109.wav,-57.23,-8.57,-69.73,48.66
sample_c0_11.wav,-47.23,-8.40,-59.25,38.83
sample_c0_110.wav,-37.59,-15.95,-32.45,21.64
sample_c0_111.wav,-51.73,-6.79,-57.67,44.94
sample_c0_112.wav,-55.14,-7.94,-66.75,47.20
sample_c0_113.wav,-51.58,-8.74,-62.88,42.84
sample_c0_114.wav,-44.23,-6.29,-53.53,37.94
sample_c0_115.wav,-55.46,-6.61,-64.97,48.85
sample_c0_116.wav,-54.25,-7.91,-66.66,46.34
sample_c0_117.wav,-52.04,-6.58,-59.15,45.46
sample_c0_118.wav,-65.83,-9.84,-72.43,55.99
sample_c0_119.wav,-55.12,-7.64,-63.78,47.48
sample_c0_12.wav,-62.19,-7.23,-72.53,54.96
sample_c0_120.wav,-60.28,-10.57,-72.29,49.71
sample_c0_121.wav,-56.00,-7.62,-63.07,48.38
sample_c0_122.wav,-53.91,-7.22,-64.14,46.69
sample_c0_123.wav,-62.62,-9.65,-69.86,52.97
sample_c0_124.wav,-53.92,-8.75,-61.24,45.17
sample_c0_125.wav,-59.48,-9.49,-68.56,49.99
sample_c0_126.wav,-47.91,-9.21,-60.53,38.70
sample_c0_127.wav,-48.20,-9.98,-63.52,38.22
sample_c0_128.wav,-61.53,-8.27,-69.20,53.26
sample_c0_129.wav,-64.49,-10.80,-71.62,53.69
sample_c0_13.wav,-51.05,-9.16,-63.98,41.89
sample_c0_130.wav,-46.02,-7.62,-58.43,38.40
sample_c0_131.wav,-62.02,-8.86,-69.30,53.16
sample_c0_132.wav,-52.80,-8.40,-58.93,44.40
sample_c0_133.wav,-59.10,-8.84,-65.46,50.26
sample_c0_134.wav,-65.27,-8.90,-73.62,56.37
sample_c0_135.wav,-55.01,-10.22,-63.14,44.79
sample_c0_136.wav,-59.66,-7.76,-67.48,51.90
sample_c0_137.wav,-57.70,-7.68,-67.07,50.02
sample_c0_138.wav,-62.89,-8.97,-70.76,53.92
sample_c0_139.wav,-56.49,-7.32,-65.77,49.17
sample_c0_14.wav,-55.34,-6.99,-63.84,48.36
sample_c0_140.wav,-62.55,-8.86,-71.45,53.69
sample_c0_141.wav,-55.58,-9.17,-65.24,46.41
sample_c0_142.wav,-63.03,-8.16,-70.65,54.87
sample_c0_143.wav,-59.42,-8.32,-68.46,51.10
sample_c0_144.wav,-68.41,-9.12,-77.56,59.29
sample_c0_145.wav,-58.88,-7.66,-69.95,51.22
sample_c0_146.wav,-66.86,-8.66,-73.62,58.20
sample_c0_147.wav,-57.32,-8.34,-65.94,48.98
sample_c0_148.wav,-59.34,-9.21,-71.38,50.14
sample_c0_149.wav,-53.52,-9.45,-58.60,44.07
sample_c0_15.wav,-44.26,-8.96,-54.50,35.30
sample_c0_150.wav,-54.56,-6.84,-62.84,47.72
sample_c0_151.wav,-58.23,-7.10,-64.66,51.13
sample_c0_152.wav,-55.96,-8.89,-68.36,47.06
sample_c0_153.wav,-52.53,-5.06,-59.90,47.47
sample_c0_154.wav,-43.68,-8.12,-56.95,35.56
sample_c0_155.wav,-63.27,-8.52,-72.57,54.75
sample_c0_156.wav,-57.71,-8.53,-67.20,49.19
sample_c0_157.wav,-65.47,-9.64,-73.38,55.83
sample_c0_158.wav,-40.54,-8.45,-33.34,32.09
sample_c0_159.wav,-62.00,-9.27,-67.31,52.73
sample_c0_16.wav,-58.34,-7.97,-67.28,50.37
sample_c0_160.wav,-60.57,-9.18,-70.65,51.39
sample_c0_161.wav,-59.57,-9.56,-71.32,50.01
sample_c0_162.wav,-59.09,-8.22,-71.41,50.87
sample_c0_163.wav,-46.50,-7.98,-60.58,38.51
sample_c0_164.wav,-49.80,-9.49,-59.36,40.31
sample_c0_165.wav,-59.36,-7.65,-67.42,51.71
sample_c0_166.wav,-52.24,-8.86,-62.62,43.38
sample_c0_167.wav,-59.23,-8.80,-69.93,50.43
sample_c0_168.wav,-53.88,-9.05,-62.49,44.83
sample_c0_169.wav,-52.98,-7.17,-60.51,45.81
sample_c0_17.wav,-55.56,-7.22,-67.20,48.34
sample_c0_170.wav,-57.14,-7.65,-68.46,49.49
sample_c0_171.wav,-54.68,-8.30,-64.94,46.38
sample_c0_172.wav,-57.45,-8.65,-64.56,48.80
sample_c0_173.wav,-61.39,-9.90,-71.45,51.49
sample_c0_174.wav,-58.04,-8.42,-71.27,49.62
sample_c0_175.wav,-60.57,-8.99,-67.96,51.59
sample_c0_176.wav,-59.02,-7.73,-68.45,51.29
sample_c0_177.wav,-52.43,-9.94,-60.15,42.49
sample_c0_178.wav,-59.80,-7.85,-67.42,51.95
sample_c0_179.wav,-55.12,-7.30,-63.72,47.82
sample_c0_18.wav,-52.35,-8.31,-60.98,44.03
sample_c0_180.wav,-58.91,-7.70,-67.43,51.21
sample_c0_181.wav,-59.30,-8.43,-66.30,50.88
sample_c0_182.wav,-55.59,-7.89,-62.03,47.70
sample_c0_183.wav,-55.05,-7.53,-64.92,47.53
sample_c0_184.wav,-46.15,-7.03,-56.58,39.12
sample_c0_185.wav,-50.15,-9.53,-60.20,40.63
sample_c0_186.wav,-58.73,-8.09,-64.97,50.64
sample_c0_187.wav,-65.48,-9.27,-73.40,56.21
sample_c0_188.wav,-56.07,-8.74,-62.84,47.33
sample_c0_189.wav,-60.01,-8.09,-67.31,51.92
sample_c0_19.wav,-60.24,-8.72,-67.32,51.53
sample_c0_190.wav,-51.98,-8.08,-61.21,43.90
sample_c0_191.wav,-55.66,-9.09,-64.86,46.57
sample_c0_192.wav,-52.07,-7.78,-60.89,44.29
sample_c0_193.wav,-54.00,-7.43,-59.81,46.58
sample_c0_194.wav,-57.43,-8.95,-67.92,48.47
sample_c0_195.wav,-59.48,-6.92,-67.31,52.55
sample_c0_196.wav,-58.61,-6.61,-65.05,52.00
sample_c0_197.wav,-66.15,-8.89,-73.59,57.26
sample_c0_198.wav,-62.98,-8.40,-70.60,54.58
sample_c0_199.wav,-64.22,-8.43,-73.41,55.79
sample_c0_2.wav,-51.93,-10.44,-65.77,41.49
sample_c0_20.wav,-38.93,-7.61,-28.24,31.31
sample_c0_200.wav,-46.60,-6.82,-61.46,39.78
sample_c0_201.wav,-66.29,-8.86,-74.58,57.43
sample_c0_202.wav,-53.53,-7.05,-63.06,46.49
sample_c0_203.wav,-64.08,-11.28,-71.43,52.80
sample_c0_204.wav,-56.15,-7.51,-64.17,48.64
sample_c0_205.wav,-58.24,-7.56,-67.94,50.68
sample_c0_206.wav,-55.81,-8.80,-67.82,47.01
sample_c0_207.wav,-60.55,-9.06,-69.73,51.49
sample_c0_208.wav,-53.83,-6.51,-59.40,47.33
sample_c0_209.wav,-61.51,-7.25,-67.96,54.26
sample_c0_21.wav,-51.87,-6.47,-63.89,45.39
sample_c0_210.wav,-51.98,-8.68,-60.10,43.30
sample_c0_211.wav,-54.56,-7.95,-67.06,46.61
sample_c0_212.wav,-54.19,-6.08,-63.70,48.10
sample_c0_213.wav,-42.94,-7.13,-51.33,35.81
sample_c0_214.wav,-60.41,-9.22,-74.47,51.19
sample_c0_215.wav,-54.01,-8.59,-62.12,45.41
sample_c0_216.wav,-67.03,-7.48,-74.48,59.55
sample_c0_217.wav,-61.77,-8.59,-73.40,53.18
sample_c0_218.wav,-53.91,-9.58,-65.38,44.34
sample_c0_219.wav,-59.80,-11.85,-70.54,47.95
sample_c0_22.wav,-51.66,-9.14,-63.29,42.53
sample_c0_220.wav,-56.33,-7.87,-63.11,48.46
sample_c0_221.wav,-55.57,-8.01,-64.21,47.56
sample_c0_222.wav,-63.09,-9.84,-70.61,53.24
sample_c0_223.wav,-53.81,-10.13,-60.95,43.69
sample_c0_224.wav,-55.67,-6.89,-65.39,48.78
sample_c0_225.wav,-58.16,-8.60,-66.30,49.57
sample_c0_226.wav,-58.97,-10.21,-71.33,48.76
sample_c0_227.wav,-57.64,-8.11,-65.43,49.53
sample_c0_228.wav,-60.45,-6.89,-64.02,53.56
sample_c0_229.wav,-62.29,-8.65,-70.54,53.64
sample_c0_23.wav,-54.07,-7.33,-67.24,46.74
sample_c0_230.wav,-61.75,-8.93,-69.12,52.81
sample_c0_231.wav,-48.42,-9.06,-59.83,39.36
sample_c0_232.wav,-63.32,-10.61,-73.49,52.71
sample_c0_233.wav,-48.26,-6.48,-59.12,41.78
sample_c0_234.wav,-57.78,-9.34,-64.66,48.44
sample_c0_235.wav,-63.73,-8.51,-71.23,55.22
sample_c0_236.wav,-59.31,-7.66,-66.78,51.65
sample_c0_237.wav,-60.33,-9.11,-70.75,51.22
sample_c0_238.wav,-42.18,-7.33,-54.17,34.85
sample_c0_239.wav,-45.95,-7.93,-53.74,38.02
sample_c0_24.wav,-61.71,-7.21,-69.15,54.49
sample_c0_240.wav,-59.63,-9.75,-73.25,49.88
sample_c0_241.wav,-43.27,-7.92,-57.44,35.35
sample_c0_242.wav,-55.84,-9.03,-63.09,46.81
sample_c0_243.wav,-45.41,-8.46,-53.98,36.95
sample_c0_244.wav,-63.54,-9.98,-69.88,53.56
sample_c0_245.wav,-61.73,-7.46,-68.02,54.28
sample_c0_246.wav,-64.32,-8.41,-73.58,55.91
sample_c0_247.wav,-54.03,-7.46,-64.26,46.58
sample_c0_248.wav,-59.05,-8.42,-67.99,50.63
sample_c0_249.wav,-60.44,-8.53,-70.56,51.90
sample_c0_25.wav,-63.27,-10.44,-71.60,52.83
sample_c0_26.wav,-44.75,-8.07,-64.44,36.69
sample_c0_27.wav,-62.66,-7.83,-70.60,54.83
sample_c0_28.wav,-39.96,-6.99,-54.50,32.97
sample_c0_29.wav,-63.19,-7.99,-70.72,55.20
sample_c0_3.wav,-53.83,-8.12,-60.08,45.71
sample_c0_30.wav,-52.63,-6.62,-66.22,46.01
sample_c0_31.wav,-56.15,-6.73,-62.83,49.42
sample_c0_32.wav,-57.64,-7.38,-65.87,50.26
sample_c0_33.wav,-59.67,-9.16,-72.48,50.52
sample_c0_34.wav,-37.65,-17.08,-31.33,20.57
sample_c0_35.wav,-44.61,-6.27,-50.77,38.34
sample_c0_36.wav,-59.60,-7.74,-69.10,51.87
sample_c0_37.wav,-65.57,-11.37,-72.55,54.19
sample_c0_38.wav,-52.07,-7.72,-59.77,44.35
sample_c0_39.wav,-54.34,-7.87,-63.74,46.47
sample_c0_4.wav,-47.88,-9.17,-59.93,38.72
