rel_path,mean_db,max_db,median_db,peak_to_mean
sample_c1_0.wav,-77.10,-32.64,-91.14,44.47
sample_c1_1.wav,-76.72,-24.30,-91.21,52.42
sample_c1_10.wav,-86.82,-39.25,-91.24,47.57
sample_c1_11.wav,-80.43,-37.59,-91.14,42.85
sample_c1_12.wav,-80.12,-28.03,-91.24,52.09
sample_c1_13.wav,-79.40,-31.78,-91.17,47.62
sample_c1_14.wav,-80.73,-30.56,-91.21,50.17
sample_c1_15.wav,-86.17,-43.78,-90.82,42.39
sample_c1_16.wav,-65.07,-34.54,-64.86,30.52
sample_c1_17.wav,-83.94,-54.93,-90.30,29.01
sample_c1_18.wav,-73.76,-34.80,-87.39,38.96
sample_c1_19.wav,-83.08,-31.74,-90.98,51.34
sample_c1_2.wav,-83.84,-27.75,-91.31,56.10
sample_c1_20.wav,-85.24,-42.33,-91.27,42.91
sample_c1_21.wav,-81.35,-35.78,-91.34,45.57
sample_c1_22.wav,-80.44,-32.09,-90.85,48.35
sample_c1_23.wav,-81.59,-38.71,-90.82,42.89
sample_c1_24.wav,-73.23,-45.23,-69.79,28.00
sample_c1_25.wav,-76.95,-40.31,-90.88,36.63
sample_c1_26.wav,-82.80,-27.64,-91.24,55.15
sample_c1_27.wav,-72.55,-32.22,-90.98,40.33
sample_c1_28.wav,-84.14,-32.94,-91.38,51.20
sample_c1_29.wav,-59.57,-35.75,-53.85,23.82
sample_c1_3.wav,-80.99,-37.40,-91.11,43.59
sample_c1_30.wav,-77.67,-28.85,-91.04,48.82
sample_c1_31.wav,-75.96,-39.26,-91.07,36.70
sample_c1_4.wav,-83.69,-29.12,-91.41,54.56
sample_c1_5.wav,-79.51,-26.65,-91.14,52.86
sample_c1_6.wav,-85.28,-30.28,-91.31,55.00
sample_c1_7.wav,-84.76,-36.87,-91.04,47.89
sample_c1_8.wav,-79.38,-33.22,-90.53,46.16
sample_c1_9.wav,-80.62,-31.58,-91.21,49.04
