rel_path,mean_db,max_db,median_db,peak_to_mean
sample_c0_0.wav,-76.27,-30.61,-91.11,45.66
sample_c0_1.wav,-83.91,-36.43,-91.34,47.48
sample_c0_10.wav,-79.29,-38.89,-91.17,40.40
sample_c0_11.wav,-84.19,-35.54,-91.27,48.65
sample_c0_12.wav,-80.68,-31.64,-91.21,49.04
sample_c0_13.wav,-81.90,-32.54,-91.31,49.36
sample_c0_14.wav,-82.68,-40.11,-91.27,42.57
sample_c0_15.wav,-71.92,-39.23,-87.16,32.69
sample_c0_16.wav,-79.55,-27.21,-91.07,52.33
sample_c0_17.wav,-85.61,-29.71,-91.31,55.90
sample_c0_18.wav,-85.72,-32.34,-91.27,53.38
sample_c0_19.wav,-83.94,-35.92,-91.17,48.02
sample_c0_2.wav,-83.84,-40.44,-91.07,43.40
sample_c0_20.wav,-84.38,-32.16,-91.41,52.22
sample_c0_21.wav,-79.22,-48.08,-90.73,31.15
sample_c0_22.wav,-79.89,-37.07,-91.04,42.82
sample_c0_23.wav,-78.62,-33.80,-91.27,44.81
sample_c0_24.wav,-82.36,-21.76,-91.38,60.59
sample_c0_25.wav,-84.44,-40.77,-90.91,43.66
sample_c0_26.wav,-78.94,-27.64,-91.27,51.29
sample_c0_27.wav,-79.30,-26.80,-91.34,52.50
sample_c0_28.wav,-77.60,-31.46,-91.04,46.15
sample_c0_29.wav,-81.70,-40.83,-91.11,40.87
sample_c0_3.wav,-83.90,-32.04,-91.27,51.86
sample_c0_30.wav,-68.29,-28.31,-80.12,39.98
sample_c0_31.wav,-79.51,-28.96,-91.17,50.56
sample_c0_4.wav,-78.13,-37.55,-91.14,40.57
sample_c0_5.wav,-84.17,-25.66,-91.38,58.51
sample_c0_6.wav,-86.37,-44.97,-91.34,41.39
sample_c0_7.wav,-80.46,-29.62,-91.21,50.84
sample_c0_8.wav,-76.34,-34.42,-91.01,41.92
sample_c0_9.wav,-88.29,-49.71,-91.27,38.58
