rel_path,mean_db,max_db,median_db,peak_to_mean
Cantonese\long vowels-#VT\低 tʰäːj55.mp3,-22.70,-11.14,-20.51,11.56
Cantonese\long vowels-#VT\凱 kʰäːj55.mp3,-25.76,-19.65,-25.47,6.11
Cantonese\long vowels-#VT\坺 pʰɛːt˺22.mp3,-33.29,-14.81,-37.67,18.48
Cantonese\long vowels-#VT\夾 kɛːp˺33.mp3,-36.09,-14.78,-39.94,21.30
Cantonese\long vowels-#VT\惜 sɛːk˺2.mp3,-33.58,-11.88,-36.21,21.70
Cantonese\long vowels-#VT\拜 päːj55.mp3,-24.99,-19.40,-24.23,5.59
Cantonese\long vowels-#VT\挨 Øäːj55.mp3,-20.86,-11.23,-15.52,9.63
Cantonese\long vowels-#VT\掉 tʰɛːw22.mp3,-34.19,-13.42,-37.75,20.77
Cantonese\long vowels-#VT\揩 häːj55.mp3,-26.04,-18.44,-24.46,7.59
Cantonese\long vowels-#VT\曬 säːj33.mp3,-25.22,-16.20,-21.24,9.02
Cantonese\long vowels-#VT\梯 tʰäːj55.mp3,-19.35,-12.61,-19.21,6.74
Cantonese\long vowels-#VT\江 kɔːŋ55.mp3,-33.62,-11.69,-38.80,21.92
Cantonese\long vowels-#VT\炸 ʦʰäːj55.mp3,-19.80,-11.28,-17.62,8.51
Cantonese\long vowels-#VT\舔 tʰɛːm25.mp3,-31.96,-15.55,-34.76,16.40
Cantonese\long vowels-#VT\落 lɔːk˺2.mp3,-32.58,-14.09,-36.04,18.49
Cantonese\long vowels-#VT\虔 kʰɛːn21.mp3,-33.09,-14.52,-34.73,18.57
Cantonese\long vowels-#VT\街 käːj55.mp3,-33.03,-12.85,-37.05,20.18
Cantonese\long vowels-#VT\趴 päːj55.mp3,-22.42,-16.94,-21.03,5.48
Cantonese\long vowels-#VT\驚 kɛːŋ55.mp3,-30.82,-12.13,-34.65,18.69
Cantonese\long vowels-#VT\齋 ʦäːj55.mp3,-24.40,-17.85,-23.59,6.55
Cantonese\short vowels-#VT\公 koŋ55.mp3,-33.59,-12.41,-34.34,21.18
Cantonese\short vowels-#VT\六 lok˺2.mp3,-37.07,-14.16,-40.25,22.91
Cantonese\short vowels-#VT\呆 tɐj55.mp3,-19.30,-11.00,-16.54,8.29
Cantonese\short vowels-#VT\坺 pet˺22.mp3,-35.38,-15.28,-40.17,20.09
Cantonese\short vowels-#VT\夾 kep˺33.mp3,-35.31,-17.77,-38.85,17.54
Cantonese\short vowels-#VT\寨 ʦʰɐj55.mp3,-20.27,-13.01,-16.95,7.26
Cantonese\short vowels-#VT\幣 pɐj55.mp3,-25.61,-17.72,-25.94,7.89
Cantonese\short vowels-#VT\惜 sek˺5.mp3,-37.90,-11.90,-38.95,25.99
Cantonese\short vowels-#VT\批 pɐj55.mp3,-24.27,-17.50,-23.16,6.77
Cantonese\short vowels-#VT\掉 teʊ22.mp3,-32.32,-13.01,-36.88,19.31
Cantonese\short vowels-#VT\溪 kʰäːj55.mp3,-26.29,-20.42,-24.70,5.88
Cantonese\short vowels-#VT\濟 ʦäːj55.mp3,-24.56,-18.01,-23.55,6.56
Cantonese\short vowels-#VT\細 sɐj33.mp3,-28.55,-13.92,-24.93,14.63
Cantonese\short vowels-#VT\舔 lem25.mp3,-32.60,-14.57,-36.90,18.04
Cantonese\short vowels-#VT\虔 kʰen21.mp3,-33.82,-17.20,-35.65,16.61
Cantonese\short vowels-#VT\軚 tʰɐj55.mp3,-19.09,-13.05,-19.79,6.04
Cantonese\short vowels-#VT\閪 hɐj55.mp3,-26.95,-17.82,-23.35,9.13
Cantonese\short vowels-#VT\閪 Øɐj55.mp3,-26.74,-12.32,-22.79,14.42
Cantonese\short vowels-#VT\雞 kɐj55.mp3,-33.18,-15.17,-38.02,18.01
Cantonese\short vowels-#VT\驚 keŋ55.mp3,-30.19,-12.04,-32.82,18.15
Thai\long vowels-#TV\kʰaː55.mp3,-26.67,-13.87,-22.03,12.80
Thai\long vowels-#TV\kʰeː55.mp3,-30.06,-18.79,-22.72,11.26
Thai\long vowels-#TV\kʰoː55.mp3,-27.95,-15.61,-20.45,12.33
Thai\long vowels-#TV\kʰuː55.mp3,-30.75,-15.07,-23.78,15.68
Thai\long vowels-#TV\kʰæː55.mp3,-28.14,-19.65,-22.72,8.49
Thai\long vowels-#TV\kʰɔː55.mp3,-24.70,-14.81,-18.92,9.89
Thai\long vowels-#TV\kʰɛː55.mp3,-30.23,-15.72,-19.46,14.51
Thai\long vowels-#TV\kʰɯː55.mp3,-27.96,-15.79,-18.45,12.18
Thai\long vowels-#TV\kʰɤː55.mp3,-29.00,-17.56,-22.36,11.44
Thai\long vowels-#TV\pʰa ː55.mp3,-25.51,-11.63,-18.20,13.88
Thai\long vowels-#TV\pʰeː55.mp3,-26.73,-17.96,-20.20,8.77
Thai\long vowels-#TV\pʰoː55.mp3,-28.02,-18.04,-23.36,9.98
Thai\long vowels-#TV\pʰuː55.mp3,-28.42,-16.08,-21.12,12.34
Thai\long vowels-#TV\pʰæː55.mp3,-27.50,-19.13,-23.24,8.36
Thai\long vowels-#TV\pʰɔː55.mp3,-23.52,-14.92,-18.64,8.60
Thai\long vowels-#TV\pʰɛː55.mp3,-26.68,-13.99,-18.93,12.68
Thai\long vowels-#TV\pʰɯː55.mp3,-21.93,-15.30,-17.66,6.64
Thai\long vowels-#TV\pʰɤː55.mp3,-25.38,-17.65,-21.63,7.72
Thai\long vowels-#TV\tʰaː55.mp3,-25.18,-13.61,-20.39,11.57
Thai\long vowels-#TV\tʰeː55.mp3,-29.79,-18.55,-21.29,11.24
Thai\long vowels-#TV\tʰoː55.mp3,-31.17,-15.51,-23.24,15.66
Thai\long vowels-#TV\tʰuː45.mp3,-28.24,-17.51,-23.22,10.73
Thai\long vowels-#TV\tʰæː55.mp3,-30.66,-18.64,-23.39,12.01
Thai\long vowels-#TV\tʰɔː55.mp3,-23.77,-14.86,-17.97,8.91
Thai\long vowels-#TV\tʰɛː55.mp3,-25.38,-14.19,-19.34,11.19
Thai\long vowels-#TV\tʰɯː55.mp3,-25.09,-15.87,-17.85,9.23
Thai\long vowels-#TV\tʰɤː55.mp3,-27.76,-18.35,-22.72,9.41
Thai\long vowels-#VD\aːe55.mp3,-37.23,-13.53,-25.14,23.70
Thai\long vowels-#VD\aːm55.mp3,-27.86,-14.20,-24.61,13.66
Thai\long vowels-#VD\aːn55.mp3,-33.81,-13.87,-25.68,19.94
Thai\long vowels-#VD\aːŋ55.mp3,-25.64,-12.52,-23.12,13.12
Thai\long vowels-#VD\aːʊ55.mp3,-33.70,-13.99,-22.71,19.71
Thai\long vowels-#VD\eːm55.mp3,-26.98,-13.87,-21.95,13.11
Thai\long vowels-#VD\eːn55.mp3,-26.59,-13.05,-22.29,13.54
Thai\long vowels-#VD\eːu55.mp3,-20.57,-10.17,-20.64,10.41
Thai\long vowels-#VD\eːŋ55.mp3,-20.95,-12.78,-20.32,8.16
Thai\long vowels-#VD\oːe55.mp3,-32.56,-10.62,-23.09,21.94
Thai\long vowels-#VD\oːm55.mp3,-25.79,-12.14,-17.78,13.65
Thai\long vowels-#VD\oːn55.mp3,-25.64,-10.82,-16.46,14.82
Thai\long vowels-#VD\oːŋ55.mp3,-27.71,-12.38,-17.36,15.33
Thai\long vowels-#VD\uːe55.mp3,-27.74,-19.85,-25.69,7.89
Thai\long vowels-#VD\uːm55.mp3,-29.22,-16.58,-24.83,12.64
Thai\long vowels-#VD\uːn55.mp3,-34.85,-12.49,-25.71,22.37
Thai\long vowels-#VD\uːŋ 55.mp3,-35.42,-13.30,-26.92,22.11
Thai\long vowels-#VD\æːm55.mp3,-35.47,-18.63,-25.98,16.84
Thai\long vowels-#VD\æːn55.mp3,-26.90,-21.24,-23.70,5.67
Thai\long vowels-#VD\æːŋ55.mp3,-27.52,-20.13,-23.77,7.39
Thai\long vowels-#VD\æːʊ55.mp3,-25.03,-14.21,-21.78,10.82
Thai\long vowels-#VD\ɔːe55.mp3,-22.53,-12.65,-18.00,9.88
Thai\long vowels-#VD\ɔːm55.mp3,-27.70,-12.77,-21.26,14.93
