rel_path,vot_ms,confidence,burst_frame,voice_frame
sample_c1_0.wav,7.50,0.21,457,460
sample_c1_1.wav,32.50,0.25,62,75
sample_c1_10.wav,60.00,0.24,18,42
sample_c1_100.wav,5.00,0.30,85,87
sample_c1_101.wav,7.50,0.28,51,54
sample_c1_102.wav,7.50,0.26,79,82
sample_c1_103.wav,7.50,0.24,23,26
sample_c1_104.wav,5.00,0.23,43,45
sample_c1_105.wav,12.50,0.27,19,24
sample_c1_106.wav,20.00,0.21,4,12
sample_c1_107.wav,12.50,0.22,32,37
sample_c1_108.wav,5.00,0.26,19,21
sample_c1_109.wav,17.50,0.26,183,190
sample_c1_11.wav,12.50,0.22,18,23
sample_c1_110.wav,5.00,0.25,26,28
sample_c1_111.wav,62.50,0.20,16,41
sample_c1_112.wav,2.50,0.35,36,37
sample_c1_113.wav,7.50,0.25,34,37
sample_c1_114.wav,2.50,0.23,24,25
sample_c1_115.wav,2.50,0.21,18,19
sample_c1_116.wav,17.50,0.36,23,30
sample_c1_117.wav,2.50,0.36,29,30
sample_c1_118.wav,2.50,0.23,222,223
sample_c1_119.wav,2.50,0.28,8,9
sample_c1_12.wav,7.50,0.23,62,65
sample_c1_120.wav,5.00,0.28,14,16
sample_c1_121.wav,115.00,0.20,33,79
sample_c1_122.wav,7.50,0.26,100,103
sample_c1_123.wav,5.00,0.33,10,12
sample_c1_124.wav,2.50,0.22,61,62
sample_c1_125.wav,12.50,0.31,21,26
sample_c1_126.wav,32.50,0.21,19,32
sample_c1_127.wav,10.00,0.25,82,86
sample_c1_128.wav,5.00,0.21,23,25
sample_c1_129.wav,20.00,0.25,14,22
sample_c1_13.wav,2.50,0.22,29,30
sample_c1_130.wav,2.50,0.24,107,108
sample_c1_131.wav,2.50,0.21,22,23
sample_c1_132.wav,2.50,0.23,17,18
sample_c1_133.wav,12.50,0.23,62,67
sample_c1_134.wav,5.00,0.31,25,27
sample_c1_135.wav,2.50,0.23,81,82
sample_c1_136.wav,5.00,0.24,23,25
sample_c1_137.wav,2.50,0.22,32,33
sample_c1_138.wav,12.50,0.21,106,111
sample_c1_139.wav,2.50,0.23,43,44
sample_c1_14.wav,15.00,0.21,55,61
sample_c1_140.wav,10.00,0.36,29,33
sample_c1_141.wav,12.50,0.26,115,120
sample_c1_142.wav,5.00,0.36,0,2
sample_c1_143.wav,25.00,0.27,68,78
sample_c1_144.wav,15.00,0.20,24,30
sample_c1_145.wav,12.50,0.21,26,31
sample_c1_146.wav,15.00,0.21,23,29
sample_c1_147.wav,5.00,0.31,13,15
sample_c1_148.wav,2.50,0.27,37,38
sample_c1_149.wav,7.50,0.36,31,34
