rel_path,vot_ms,confidence,burst_frame,voice_frame
sample_c0_0.wav,35.00,0.25,22,36
sample_c0_1.wav,22.50,0.21,16,25
sample_c0_10.wav,15.00,0.22,27,33
sample_c0_100.wav,15.00,0.25,18,24
sample_c0_101.wav,2.50,0.22,20,21
sample_c0_102.wav,35.00,0.25,19,33
sample_c0_103.wav,25.00,0.21,18,28
sample_c0_104.wav,7.50,0.24,50,53
sample_c0_105.wav,10.00,0.24,25,29
sample_c0_106.wav,2.50,0.22,48,49
sample_c0_107.wav,10.00,0.22,20,24
sample_c0_108.wav,7.50,0.29,18,21
sample_c0_109.wav,197.50,0.21,30,109
sample_c0_11.wav,5.00,0.23,55,57
sample_c0_110.wav,7.50,0.21,37,40
sample_c0_111.wav,5.00,0.22,23,25
sample_c0_112.wav,5.00,0.21,38,40
sample_c0_113.wav,42.50,0.24,30,47
sample_c0_114.wav,100.00,0.20,30,70
sample_c0_115.wav,82.50,0.22,26,59
sample_c0_116.wav,10.00,0.22,47,51
sample_c0_117.wav,12.50,0.20,10,15
sample_c0_118.wav,2.50,0.34,23,24
sample_c0_119.wav,40.00,0.20,24,40
sample_c0_12.wav,25.00,0.21,17,27
sample_c0_120.wav,37.50,0.23,26,41
sample_c0_121.wav,2.50,0.32,34,35
sample_c0_122.wav,5.00,0.35,34,36
sample_c0_123.wav,2.50,0.20,24,25
sample_c0_124.wav,15.00,0.34,27,33
sample_c0_125.wav,12.50,0.21,40,45
sample_c0_126.wav,80.00,0.25,38,70
sample_c0_127.wav,42.50,0.24,13,30
sample_c0_128.wav,12.50,0.27,25,30
sample_c0_129.wav,35.00,0.27,20,34
sample_c0_13.wav,17.50,0.24,76,83
sample_c0_130.wav,72.50,0.21,13,42
sample_c0_131.wav,22.50,0.23,25,34
sample_c0_132.wav,22.50,0.25,19,28
sample_c0_133.wav,12.50,0.21,31,36
sample_c0_134.wav,5.00,0.32,24,26
sample_c0_135.wav,10.00,0.25,20,24
sample_c0_136.wav,22.50,0.21,26,35
sample_c0_137.wav,27.50,0.24,13,24
sample_c0_138.wav,22.50,0.21,19,28
sample_c0_139.wav,27.50,0.24,28,39
sample_c0_14.wav,10.00,0.23,18,22
sample_c0_140.wav,112.50,0.24,18,63
sample_c0_141.wav,47.50,0.22,43,62
sample_c0_142.wav,25.00,0.34,31,41
sample_c0_143.wav,2.50,0.27,21,22
sample_c0_144.wav,7.50,0.21,27,30
sample_c0_145.wav,12.50,0.22,19,24
sample_c0_146.wav,2.50,0.21,25,26
sample_c0_147.wav,67.50,0.27,15,42
sample_c0_148.wav,20.00,0.27,25,33
sample_c0_149.wav,40.00,0.21,40,56
sample_c0_15.wav,5.00,0.23,12,14
sample_c0_150.wav,5.00,0.21,21,23
sample_c0_151.wav,12.50,0.28,22,27
sample_c0_152.wav,60.00,0.21,74,98
sample_c0_153.wav,2.50,0.29,34,35
sample_c0_154.wav,7.50,0.21,40,43
sample_c0_155.wav,20.00,0.23,23,31
sample_c0_156.wav,25.00,0.26,30,40
sample_c0_157.wav,25.00,0.23,28,38
sample_c0_158.wav,10.00,0.25,52,56
sample_c0_159.wav,2.50,0.30,23,24
sample_c0_16.wav,70.00,0.24,15,43
sample_c0_160.wav,145.00,0.24,27,85
sample_c0_161.wav,52.50,0.23,36,57
sample_c0_162.wav,32.50,0.20,36,49
sample_c0_163.wav,10.00,0.23,77,81
sample_c0_164.wav,25.00,0.22,25,35
sample_c0_165.wav,5.00,0.34,34,36
sample_c0_166.wav,7.50,0.28,20,23
sample_c0_167.wav,65.00,0.23,31,57
sample_c0_168.wav,7.50,0.23,35,38
sample_c0_169.wav,30.00,0.21,22,34
sample_c0_17.wav,77.50,0.20,30,61
sample_c0_170.wav,52.50,0.21,38,59
sample_c0_171.wav,85.00,0.22,27,61
sample_c0_172.wav,20.00,0.21,34,42
sample_c0_173.wav,2.50,0.23,24,25
sample_c0_174.wav,45.00,0.20,60,78
sample_c0_175.wav,17.50,0.24,31,38
sample_c0_176.wav,12.50,0.20,18,23
sample_c0_177.wav,15.00,0.28,24,30
sample_c0_178.wav,2.50,0.25,21,22
sample_c0_179.wav,40.00,0.27,29,45
sample_c0_18.wav,25.00,0.21,19,29
sample_c0_180.wav,7.50,0.32,17,20
sample_c0_181.wav,10.00,0.21,23,27
sample_c0_182.wav,7.50,0.23,21,24
sample_c0_183.wav,27.50,0.21,17,28
sample_c0_184.wav,5.00,0.24,26,28
sample_c0_185.wav,20.00,0.20,19,27
sample_c0_186.wav,10.00,0.22,27,31
sample_c0_187.wav,15.00,0.22,28,34
sample_c0_188.wav,10.00,0.20,18,22
sample_c0_189.wav,2.50,0.24,30,31
sample_c0_19.wav,27.50,0.34,30,41
sample_c0_190.wav,7.50,0.24,36,39
sample_c0_191.wav,72.50,0.30,48,77
sample_c0_192.wav,2.50,0.27,14,15
sample_c0_193.wav,2.50,0.30,25,26
sample_c0_194.wav,2.50,0.21,19,20
sample_c0_195.wav,22.50,0.28,27,36
sample_c0_196.wav,10.00,0.27,22,26
sample_c0_197.wav,2.50,0.20,27,28
sample_c0_198.wav,5.00,0.22,22,24
sample_c0_199.wav,17.50,0.24,20,27
sample_c0_2.wav,12.50,0.23,35,40
sample_c0_20.wav,20.00,0.20,44,52
sample_c0_200.wav,2.50,0.28,23,24
sample_c0_201.wav,22.50,0.27,22,31
sample_c0_202.wav,10.00,0.36,29,33
sample_c0_203.wav,15.00,0.23,26,32
sample_c0_204.wav,15.00,0.26,13,19
sample_c0_205.wav,42.50,0.28,15,32
sample_c0_206.wav,117.50,0.21,31,78
sample_c0_207.wav,10.00,0.20,25,29
sample_c0_208.wav,5.00,0.21,30,32
sample_c0_209.wav,32.50,0.26,30,43
sample_c0_21.wav,15.00,0.22,38,44
sample_c0_210.wav,32.50,0.21,17,30
sample_c0_211.wav,12.50,0.21,45,50
sample_c0_212.wav,20.00,0.24,13,21
