rel_path,vot_ms,confidence,burst_frame,voice_frame
sample_c1_0.wav,10.00,0.23,36,40
sample_c1_1.wav,65.00,0.27,51,77
sample_c1_10.wav,2.50,0.33,15,16
sample_c1_11.wav,5.00,0.24,33,35
sample_c1_12.wav,5.00,0.28,35,37
sample_c1_13.wav,2.50,0.21,26,27
sample_c1_14.wav,5.00,0.23,31,33
sample_c1_15.wav,2.50,0.27,12,13
sample_c1_16.wav,2.50,0.33,91,92
sample_c1_17.wav,2.50,0.20,199,200
sample_c1_18.wav,75.00,0.24,100,130
sample_c1_19.wav,2.50,0.27,75,76
sample_c1_2.wav,2.50,0.21,16,17
sample_c1_20.wav,7.50,0.22,22,25
sample_c1_21.wav,2.50,0.35,46,47
sample_c1_22.wav,5.00,0.22,34,36
sample_c1_23.wav,5.00,0.26,15,17
sample_c1_24.wav,5.00,0.31,306,308
sample_c1_25.wav,45.00,0.21,13,31
sample_c1_26.wav,10.00,0.24,15,19
sample_c1_27.wav,7.50,0.28,31,34
sample_c1_28.wav,2.50,0.22,32,33
sample_c1_29.wav,12.50,0.22,312,317
sample_c1_3.wav,7.50,0.21,5,8
sample_c1_30.wav,2.50,0.22,69,70
sample_c1_31.wav,50.00,0.22,54,74
sample_c1_4.wav,35.00,0.26,19,33
sample_c1_5.wav,22.50,0.21,13,22
sample_c1_6.wav,2.50,0.26,11,12
sample_c1_7.wav,10.00,0.26,16,20
sample_c1_8.wav,7.50,0.23,84,87
sample_c1_9.wav,55.00,0.21,47,69
