rel_path,vot_ms,confidence,burst_frame,voice_frame
sample_c0_0.wav,30.00,0.21,30,42
sample_c0_1.wav,5.00,0.36,38,40
sample_c0_10.wav,22.50,0.26,31,40
sample_c0_11.wav,5.00,0.20,18,20
sample_c0_12.wav,50.00,0.31,28,48
sample_c0_13.wav,55.00,0.27,46,68
sample_c0_14.wav,7.50,0.22,24,27
sample_c0_15.wav,22.50,0.36,21,30
sample_c0_16.wav,2.50,0.23,50,51
sample_c0_17.wav,12.50,0.22,15,20
sample_c0_18.wav,5.00,0.20,14,16
sample_c0_19.wav,5.00,0.24,12,14
sample_c0_2.wav,5.00,0.28,10,12
sample_c0_20.wav,2.50,0.24,22,23
sample_c0_21.wav,62.50,0.32,29,54
sample_c0_22.wav,5.00,0.26,82,84
sample_c0_23.wav,10.00,0.26,43,47
sample_c0_24.wav,42.50,0.25,0,17
sample_c0_25.wav,15.00,0.21,23,29
sample_c0_26.wav,15.00,0.24,20,26
sample_c0_27.wav,7.50,0.28,58,61
sample_c0_28.wav,120.00,0.21,39,87
sample_c0_29.wav,30.00,0.23,32,44
sample_c0_3.wav,10.00,0.24,29,33
sample_c0_30.wav,92.50,0.23,63,100
sample_c0_31.wav,10.00,0.20,31,35
sample_c0_4.wav,25.00,0.25,31,41
sample_c0_5.wav,135.00,0.22,27,81
sample_c0_6.wav,5.00,0.25,21,23
sample_c0_7.wav,17.50,0.22,20,27
sample_c0_8.wav,2.50,0.21,57,58
sample_c0_9.wav,2.50,0.21,2,3
